"numMs"	"lt1msDelay"	"stddev"
"20"	1	0.0111691556754796
"30"	1	0.0111691551009344
"40"	1	0.0111691548136616
"50"	1	0.0111691546412979
"60"	1	0.0111691545263892
"70"	0.999980867202426	0.0515878395085808
"80"	0.999733231874993	0.170489820414629
"90"	0.9994983602535	0.210434426081629
"100"	0.999329769062792	0.230624599588458
